business_unit,country,office_name,office_type,city,address,postcode,phone,email,website,source_url,source_page,notes
Allianz Corporate,Greece,Allianz European Reliance Single Member Insurance S.A.,office,Kifisias Ave.,"274, Kifisias Ave., 152 32 Chalandri, Greece",,+30 210 8119500,,www.allianz.gr,https://www.allianz.com/en/about-us/company/contact/greece.html,Greece | Allianz,
Allianz Corporate,Greece,Allianz Single Member Mutual Fund Management S.A.,contact,Building C,"Athinon Ave. 110, Building C, 104 42 Athens, Greece",,+30 210 69 99 903,,www.allianzaedak.gr,https://www.allianz.com/en/about-us/company/contact/greece.html,Greece | Allianz,
Allianz Corporate,Greece,Allianz Partners,contact,173 42 Agios Dimitrios,"10 Premetis St, 173 42 Agios Dimitrios, Greece",,+30 211 10 98090,,www.allianz-assistance.gr,https://www.allianz.com/en/about-us/company/contact/greece.html,Greece | Allianz,
Allianz Corporate,Greece,Allianz Trade in Greece,contact,Nymfeou Str.,"16, Laodikias Str., & 1-3, Nymfeou Str., 115 28 Athens, Greece",,+30 210 6900 000,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/greece.html,Greece | Allianz,
Allianz Corporate,Guernsey,Hauteville Insurance Company Ltd.,office,St Peter Port,"34 Les Canichers, St Peter Port, Guernsey GY1 2 LT",,+44 1481 724212 | +44 1481 720400,,www.allianz.fr,https://www.allianz.com/en/about-us/company/contact/guernsey.html,Guernsey | Allianz,
Allianz Corporate,Hungary,Allianz Hungária Zrt.,office,Budapest,"Könyves Kálmán krt. 48-52, 1087 Budapest, Hungary",1087,+36 1 4292 595 | +36 1 3016 100,,www.allianz.hu,https://www.allianz.com/en/about-us/company/contact/hungary.html,Hungary | Allianz,
Allianz Corporate,Hungary,Allianz Partners,contact,Budaörs,"Szabadság út 117, 2040 Budaörs, Hungary",2040,+36 23 507 416,,www.mondial-assistance.hu,https://www.allianz.com/en/about-us/company/contact/hungary.html,Hungary | Allianz,
Allianz Corporate,Hungary,"Allianz Technology SE, Magyarországi Fióktelepe",contact,Budapest,"Könyves Kalman körut 48, 1087 Budapest, Hungary",1087,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/hungary.html,Hungary | Allianz,
Allianz Corporate,Hungary,Allianz Trade in Hungary,contact,Budapest,"1139 Budapest, Váci út 99",1139,+36 1 453 9000,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/hungary.html,Hungary | Allianz,
Allianz Corporate,Iceland,Allianz Ísland Söluumbod hf,office,220 Hafnarfirði,"Dalshrauni 3, 220 Hafnarfirði",,+354 595 3300 | +354 595 3350,,www.allianz.is,https://www.allianz.com/en/about-us/company/contact/iceland.html,Iceland | Allianz,
Allianz Corporate,Iceland,Allianz Ísland Söluumbod hf,office,Iceland,"Iceland, Opening hours: 9-16 working days",,+354 595 3300 | +354 595 3350,,www.allianz.is,https://www.allianz.com/en/about-us/company/contact/iceland.html,Iceland | Allianz,
Allianz Corporate,Iceland,Allianz Partners Nordic and Baltic Region,contact,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",1059,,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/iceland.html,Iceland | Allianz,
Allianz Corporate,Ireland,Allianz Ireland Plc,office,Merrion Road,"Allianz House, Elmpark, Merrion Road, Dublin 4, Ireland",,+353 1 6133 000 | +353 1 6609 220,,www.allianz.ie,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Allianz Global Corporate & Specialty,contact,Merrion Roard,"Allianz House, Elm Park, Merrion Roard, Dublin 4, D04 Y6Y6 Ireland",,+353 1 613 3000,,www.agcs.allianz.com,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Allianz Global Life dac.,contact,Allianz Partners,"Maple House, Temple Road,, Blackrock,, Dublin, Ireland, Allianz Partners, 18b Beckett Way",,+353 1 2422 300 | +353 1 2422 302,,www.allianzgloballife.com,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Park West Business Campus,contact,Nangor Road,"Nangor Road, Dublin 12, Ireland",,+353 1448 48 48,,www.allianz-assistance.ie,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Allianz Partners - International Health,contact,15 Joyce Way,15 Joyce Way,,,,,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Allianz Re Dublin dac,contact,Merrion Road,"Allianz House, Elmpark, Merrion Road, Dublin 4, Ireland",,+353 1 5125 400 | +353 1 5125 401,,www.allianzre.com,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Allianz Technology SE,contact,Merrion Road,"Allianz House, Elmpark, Merrion Road, Dublin 4, D04 Y6Y6, Ireland",,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Allianz Trade in Ireland,contact,Allianz House,"Allianz House, 4 Elm Park, D04 Y6Y6 Dublin, Ireland",,+353 (0)1 518 7900,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Italy,Allianz S.p.A.,registered_office,Milano,"Piazza Tre Torri, 3 – 20145 Milano, Italy",20145,+39 02 721 61 | +39 02 2216 5000,,www.allianz.it,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz S.p.A.,operational_offices,Milano,"Piazza Tre Torri, 3 - 20145 Milano, Italy",20145,+39 02 721 61 | +39 02 2216 5000,,www.allianz.it,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz S.p.A.,operational_offices,Trieste,"Largo Ugo Irneri, 1 - 34123 Trieste, Italy",34123,+39 02 721 61 | +39 02 2216 5000,,www.allianz.it,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz Bank Financial Advisors S.p.A.,contact,Milano,"Piazza Tre Torri 3, 20145 Milano, Italy",20145,+39 02 5550 6132 | +39 02 8901 0884,,www.allianzbank.it,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz Commercial,contact,Milan,"Piazza Tre Torri 3, 20145 Milan, Italy",20145,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz Direct S.p.A.,contact,Milano,"Piazza Tre Torri 3, 20145 Milano, Italy",20145,+39 02 3045 9009,,www.allianzdirect.it,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,"Allianz Global Investors GmbH, Succursale di Milano",contact,Milano,"Piazza Velasca 7, 20122 Milano, Italy",20122,+39 02 8704 7000 | +39 02 8704 8239,,www.it.allianzgi.com,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz Partners,contact,Milano,"Viale Brenta, 32, 20139 Milano, Italy",20139,+800 408 804,,www.allianz-global-assistance.it,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz Real Estate GmbH Italy,contact,Milan,"Piazza Tre Torri, 3, 20145 Milan, Italy",20145,,,,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz Services Italy,contact,Piazza Tre Torri 3,Piazza Tre Torri 3,,,,,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Milan,contact,Trieste,"Italy, Allianz Technology, Allianz Technology S.p.A. Trieste, Largo Ugo Irneri 1, 34123 Trieste, Italy",34123,,,,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz Technology S.p.A. Milano,contact,Milano,"Via Oglio 12, 20139 Milano, Italy",20139,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz Trade in Italy,contact,Roma RM,"Via Raffaello Matarazzo, 19, 00139 Roma RM, Italia",00139,+39 06 8700 7420,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Investitori Sgr S.p.A.,contact,Milano,"Piazza Erculea 15, 20122 Milano, Italy",20122,+39 02 7216 2500 | +39 02 8058 0271,,www.investorisgr.it,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Latvia,Allianz Partners Nordic and Baltic Region,office,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",1059,,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/latvia.html,Latvia | Allianz,
Allianz Corporate,Latvia,"Sampo Kindlustuse AS, Latvia",office,Riga,"Merkela Street 1, 1050 Riga, Latvia",1050,+371 7225 222 | +371 7225 585,,,https://www.allianz.com/en/about-us/company/contact/latvia.html,Latvia | Allianz,
Allianz Corporate,Liechtenstein,Allianz Commercial (Allianz Risk Transfer AG),office,Schaan,"Im alten Riet 102, 9494 Schaan, Liechtenstein",9494,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/liechtenstein.html,Liechtenstein | Allianz,
Allianz Corporate,Lithuania,Allianz Lietuva gyvybės draudimas UAB,office,Vilnius,"Lvivo g. 25-701, LT-09320 Vilnius, Lithuania",09320,+370 5 2690169,,www.allianz.lt,https://www.allianz.com/en/about-us/company/contact/lithuania.html,Lithuania | Allianz,
Allianz Corporate,Lithuania,Allianz Partners Nordic and Baltic Region,contact,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",1059,,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/lithuania.html,Lithuania | Allianz,
Allianz Corporate,Luxembourg,Allianz Insurance Luxembourg,office,Luxemburg,"14 bld F.D. Roosevelt, 2450 Luxemburg",2450,+352 472 3461 | +352 472 3462 35,,www.allianz.lu,https://www.allianz.com/en/about-us/company/contact/luxembourg.html,Luxembourg | Allianz,
Allianz Corporate,Luxembourg,"Allianz Global Investors GmbH, Luxembourg Branch",contact,route de Trèves,"6a, route de Trèves, L-2633 Luxembourg",2633,+352 46 346 31 | +352 4634 63620,,www.allianzgi.lu,https://www.allianz.com/en/about-us/company/contact/luxembourg.html,Luxembourg | Allianz,
Allianz Corporate,Luxembourg,Allianz Life Luxembourg S.A,contact,Luxemburg,"14 bld F.D. Roosevelt, 2450 Luxemburg",2450,+352 472 3461 | +352 472 3462 35,,www.allianz.lu,https://www.allianz.com/en/about-us/company/contact/luxembourg.html,Luxembourg | Allianz,
Allianz Corporate,Netherlands,Allianz Nederland Groep NV,office,AT Rotterdam,"P.O. Box 761, 3000 AT Rotterdam, The Netherlands",3000,,,www.allianz.nl,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Allianz Benelux N.V. Netherlands Branch,contact,AT Rotterdam,"P.O. Box 761, 3000 AT Rotterdam, The Netherlands",3000,,,,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Allianz Commercial,contact,AG Rotterdam,"Coolsingel 120, 3011 AG Rotterdam, Netherlands",3011,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Allianz Direct Netherlands,contact,AP Rotterdam,"Postbus 761, 3011 AP Rotterdam, The Netherlands",3011,,,www.allianzdirect.nl,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Allianz Global Investors,contact,AG Rotterdam,"Coolsingel 120, 3011 AG Rotterdam, The Netherlands",3011,,,nl.allianzgi.com,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Allianz Partners,contact,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, Netherlands",1059,+31 20 561 87 11,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Allianz Technology,contact,AT Rotterdam,"Coolsingel 120, 3000 AT Rotterdam, The Netherlands",3000,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Allianz Trade in the Netherlands,contact,TV,"Brabantlaan 2, 5216 TV ’s-Hertogenbosch, The Netherlands",5216,+31 73 6889 999,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Euler Hermes Garanties,contact,AL Amsterdam,"De Entree 31 (Alpha Tower), P.O. Box 12473, 1100 AL Amsterdam, The Netherlands, Our brand name, website domain names and email addresses changed to Allianz Trade effective March 28, 2022.",2022,+31 20 696 39 41,,www.allianz-trade.nl,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Norway,Allianz Global Corporate & Specialty AS,office,St,"Holbergsgate 21, Postboks 6875 St.Olavs plass, Oslo, 0130, Norway",0130,+45 32 70 00 14,,www.agcs.allianz.com,https://www.allianz.com/en/about-us/company/contact/norway.html,Norway | Allianz,
Allianz Corporate,Norway,Allianz Partners Nordic and Baltic Region,office,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",1059,,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/norway.html,Norway | Allianz,
Allianz Corporate,Norway,Allianz Trade in Norway,office,Oslo,"Holbergsgate 21, P.O. Box 6875, St. Olavs Plass, 0130 Oslo, Norway",0130,+47 23 25 60 00,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/norway.html,Norway | Allianz,
Allianz Corporate,Poland,PTE Allianz Polska S.A.,office,00-189 Warszawa,"ul. Inflancka 4B, 00-189 Warszawa, Poland",,+48 224 224 224,,www.allianz.pl,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,Allianz Global Corporate & Specialty,contact,TU Allianz POLSKA S.A.,"TU Allianz POLSKA S.A., ul. Rodziny Hiszpanskich 1, 02-685 Warszawa, Poland",,+48 224 224 224,,www.allianz.pl/,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,Allianz Partners,contact,02-672 Warszawa,"ul. Domaniewska 50 B, 02-672 Warszawa, Poland",,+48 22 522 2500,,www.allianz-worldwide-partners.pl,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,Allianz Trade in Poland,contact,00-807 Warsaw,"Al. Jerozolimskie 98, 00-807 Warsaw, Poland",,+48 22 233 4444,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,Santander Allianz Towarzystwo Ubezpieczeń na Życie S.A.,contact,00-189 Warsaw,"ul. Inflancka 4b, 00-189 Warsaw, Poland",,+48 801 888 188 | +48 22 557 44 71,,www.santander.allianz.pl,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,Santander Allianz Towarzystwo Ubezpieczeń S.A.,contact,00-189 Warsaw,"ul. Inflancka 4b, 00-189 Warsaw, Poland",,+48 801 888 188 | +48 22 557 44 71,,www.santander.allianz.pl,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,TFI Allianz Polska S.A.,contact,00-189 Warszawa,"ul. Inflancka 4B, 00-189 Warszawa, Poland",,+48 224 224 224,,www.allianz.pl,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,TU Allianz Zycie Polska S.A.,contact,00-189 Warszawa,"ul. Inflancka 4B, 00-189 Warszawa, Poland",,+48 224 224 224,,www.allianz.pl,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,TUiR Allianz Polska S.A,contact,00-189 Warszawa,"ul. Inflancka 4B, 00-189 Warszawa, Poland",,+48 224 224 224,,www.allianz.pl,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Portugal,Allianz Portugal,office,1069-014 Lisboa,"Rua Andrade Corvo 32, 1069-014 Lisboa, Portugal",1069,+351 213 108 300 | +351 213 165 570,,www.allianz.pt/,https://www.allianz.com/en/about-us/company/contact/portugal.html,Portugal | Allianz,
Allianz Corporate,Portugal,Allianz Commercial,contact,1069-014 Lisboa,"R. Andrade Corvo 32, 1069-014 Lisboa, Portugal",1069,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/portugal.html,Portugal | Allianz,
Allianz Corporate,Portugal,Allianz Global Investors Europe GmbH,contact,1069-014 Lisboa,"Companhia de Seguros Allianz Portugal S.A, Rua Andrade Corvo 32, 1069-014 Lisboa, Portugal",1069,+351 213 165 590 | +351 213 165 596,,,https://www.allianz.com/en/about-us/company/contact/portugal.html,Portugal | Allianz,
Allianz Corporate,Portugal,Allianz Partners,contact,Av. do Brasil,"Av. do Brasil, 56, 3.º Piso, 1700-073 Lisboa, Portugal",1700,+351 210 014 284,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/portugal.html,Portugal | Allianz,
Allianz Corporate,Portugal,"COSEC - Companhia de Seguro de Créditos, S.A.",contact,1069-057 Lisboa,"Av. da República nº 58, 1069-057 Lisboa, Portugal",1069,+351 21 791 3700,,,https://www.allianz.com/en/about-us/company/contact/portugal.html,Portugal | Allianz,
Allianz Corporate,Romania,Allianz-Tiriac Asigurari S.A.,office,Zip Code 011 017,"82-94 Buzești St., Floors 3, 4, 12, District 1, Zip Code 011 017, Romania",,40 21 2082 222 | 40 21 2082 211,,www.AllianzTiriac.ro,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Allianz Partners,contact,Floreasca Park - Building A,"Floreasca Park - Building A, Soseaua Pipera 43, 5th Floor, Sector 2",,,,,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,Globalworth Campus- Building C,"Romania, Allianz Services Romania, Globalworth Campus- Building C, Ing. George Constantinescu street 2-4, 14th Floor, District 2",,+40 21 312 22 37,,www.allianzworldwidepartners.ro,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,Floreasca Park - Building A,"Romania, Allianz Technology, Floreasca Park - Building A, Soseaua Pipera 43, Sector 2",,,,,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,Allianz-Tiriac Pensii Private,"Romania, Allianz-Tiriac Pensii Private, Emanoil Porumbaru 85-87, Sector 1",,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,Cladirea B,"Romania, Allianz Trade in Romania, Oregon Park, Cladirea B, Et. 1, Șoseaua Pipera 46D-46E-48, Sector 2",,40 21 2072 166 | 40 21 2072 170,,www.aztpensii.ro,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,,Romania,,+40 21 302 0300,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Slovakia,"Allianz Slovenská poistovna, a. s.",office,815 74 Bratislava,"Dostojevského rad 4, 815 74 Bratislava, Slovakia",,+421 2 50 122 222 | +421 2 5963 2740,,www.allianz.sk,https://www.allianz.com/en/about-us/company/contact/slovakia.html,Slovakia | Allianz,
Allianz Corporate,Slovakia,"Allianz Slovenská dôchodková správcovská spolocnost, a.s. (Pension Fund Company)",contact,811 09 Bratislava,"Pribinova 19, 811 09 Bratislava, Slovakia",,+421 2 57 10 6811,,www.asdss.sk,https://www.allianz.com/en/about-us/company/contact/slovakia.html,Slovakia | Allianz,
Allianz Corporate,Slovakia,"Allianz Technology SE, organizačná zložka",contact,Nivy Tower,"Allianz Technology (Slovakia) s.r.o., Nivy Tower, Mlynské nivy 18890/5, 821 09 Bratislava - mestská časť Ružinov, Slovakia",18890,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/slovakia.html,Slovakia | Allianz,
Allianz Corporate,Slovakia,Allianz Trade in Slovakia,contact,821 01 Bratislava,"Bajkalská 19B, 821 01 Bratislava, Slovakia",,+421 2 582 809 11,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/slovakia.html,Slovakia | Allianz,
Allianz Corporate,Slovenia,"Allianz Slovenija, podružnica",office,Ljubljana,"Celovška cesta 252, 1000 Ljubljana, Slovenia",1000,+386 1 580 94 75,,www.allianz-slovenija.si,https://www.allianz.com/en/about-us/company/contact/slovenia.html,Slovenia | Allianz,
Allianz Corporate,Spain,Allianz Compañía de Seguros y Reaseguros S.A.,office,Madrid,"C/ Ramírez de Arellano, 28043 Madrid, Spain",28043,+34 902 232 629 | +34 902 333 639,,www.allianz.es,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Allianz Commercial,contact,Madrid,"Calle Ramírez, d, e Arellano 35, 28043 Madrid, Spain",28043,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,"Allianz Global Investors GmbH, Sucursal en España",contact,Madrid,"Calle Serrano, 49 (Entrada por Ortega y Gasset,7), 28006 Madrid, Spain",28006,+34 91 0477 400,,www.es.allianzgi.com,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Allianz Partners,contact,Madrid,"C/Ramírez de Arellano 35, 28043 Madrid, Spain",28043,+34 902 102 998,,www.allianz-assistance.es,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Allianz Popular SL,contact,Madrid,"C/ Ramírez de Arellano 35, 28043 Madrid, Spain",28043,+34 91 4360 300 | +34 91 4360 263,,www.allianz.es,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Allianz Real Estate GmbH Iberia,contact,Madrid,"Sucursal en España, C/ Ramírez de Arellano 35, 28043 Madrid, Spain",28043,,,,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Allianz Technology SE,contact,Barcelona,"Allianz Technology Iberolatam, Tarragona 109, 4th Floor, 08014 Barcelona, Spain",08014,,,,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Allianz Technology Spain,contact,Barcelona,"Avenida Icaria, 199, 08005 Barcelona, Spain",08005,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,"Amaya, Compañía de Seguros y Reaseguros, S.A.",contact,Madrid,"C/ Ramírez de Arellano 35, 28043 Madrid, Spain",28043,+34 91 5962 254 | +34 93 2277 235,,www.allianz.es,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,"Fénix Directo, Compañía de Seguros y Reaseguros, S.A.",contact,Madrid,"C/ Ramírez de Arellano 35, 28043 Madrid, Spain",28043,+34 902 4444 44 | +34 902 2722 72,,www.fenixdirecto.com,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Solunion (Joint venture Euler Hermes / MAPFRE),contact,Avda. General Perón,"Avda. General Perón, 40",,,,,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Edificio Moda Shopping,contact,Madrid,"28020 Madrid, Spain",28020,+34 91 5813 400,,www.solunionseguros.es,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Sweden,Allianz Commercial,office,Visitor's address:,"Visitor's address:, Norrlandsgatan 16, 111 43 Stockholm",,,,,https://www.allianz.com/en/about-us/company/contact/sweden.html,Sweden | Allianz,
Allianz Corporate,Sweden,Allianz Trade in Sweden,office,101 34 Stockholm,"Sveavägen 98, P.O. Box 729, 101 34 Stockholm",,,,,https://www.allianz.com/en/about-us/company/contact/sweden.html,Sweden | Allianz,
Allianz Corporate,Switzerland,Allianz Suisse Versicherungs-Gesellschaft,office,Zürich,"PO Box 8010 Zürich, Richtiplatz 1, Switzerland",8010,+41 58 358 7111 | +41 58 358 4042,,www.allianz.ch,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Suisse Versicherungs-Gesellschaft,office,Wallisellen,"8304 Wallisellen, Switzerland",8304,+41 58 358 7111 | +41 58 358 4042,,www.allianz.ch,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Commercial (Allianz Risk Transfer AG) Zurich / Wallisellen Branch,contact,Wallisellen,"Visitor address:, Richtiplatz 1, CH-8304 Wallisellen, Switzerland",8304,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Postal address:,contact,Zurich,"Postfach, CH-8010 Zurich, Switzerland",8010,,,commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Global Investors (Switzerland) Ltd.,contact,Zurich,"Gottfried-Keller-Strasse 5, 8001 Zurich, Switzerland",8001,+41 44 206 44 77 | +41 44 206 44 99,,www.allianzgi.ch,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Partners,contact,Wallisellen,"Wallisellen Branch, Hertistrasse 2, 8304 Wallisellen, Switzerland",8304,+41 44 283 32 22,,www.allianz-assistance.ch,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Re (Zurich Branch),contact,Wallisellen,"Richtiplatz 1, 8304 Wallisellen, Switzerland",8304,+41 44 285 9595 | +41 44 285 9596,,www.allianzre.com,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Suisse Immobilien AG,contact,Wallisellen,"Wallisellen, Richtiplatz 1, 8304 Wallisellen, Switzerland",8304,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Bern,contact,Bern,"Effingerstrasse 34, 3001 Bern, Switzerland",3001,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Lausanne,contact,Lausanne,"Route de Chavannes 31, 1007 Lausanne, Switzerland",1007,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Genève,contact,Genève,"Avenue du Bouchet 12, 1211 Genève 28, Switzerland",1211,+41 58 358 0111 | +41 58 358 0112,,www.allianz.ch/immo,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Suisse Versicherungs-Gesellschaft,contact,Zürich,"PO Box 8010 Zürich, Richtiplatz 1, 8304 Wallisellen, Switzerland",8304,+41 58 358 7111 | +41 58 358 4042,,www.allianz.ch,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
